Name,Rating,Type,Address,Average budget,Maximum capacity
La Bonne du Curé,3,Belge,                1000 Bruxelles,9,Not Available
Red Monkey,3.5,Français,                1050 Bruxelles,15,Not Available
Shinwi,3,Asiatique,                1000 Bruxelles,15,Not Available
La Bamoise,Not available,Belge,                1060 Saint-Gilles ,Not Available,Not Available
"Orient Kitchen, Schaerbeek",2.5,Asiatique,                1030 Schaerbeek ,9,Not Available
Saveurs Du Liban,4,Libanais,                1050 Ixelles ,55,Not Available
Ispahan Original,4,Iranien,                1180 Uccle ,45,Not Available
Au Palais Des Indes,3,Indien,                1050 Ixelles ,30,Not Available
Le Faucon - Den Valck,3,Français,                1000 Bruxelles,15,Not Available
La Boule Rouge,4.5,Belge,                1000 Bruxelles,15,Not Available
Les Cyclades,3.5,Grec,                1120 Neder-over-Heembeek ,16,Not Available
Les Marmites Du Monde,4,Belge,                1050 Ixelles ,16,Not Available
Pizza Oliva,2.5,Italien,                1170 Watermael-Boitsfort ,Not Available,Not Available
Break De l'Abbaye,3.5,Belge,                1050 Ixelles ,15,Not Available
Theatre Le Fou Rire,4.5,Français,                1070 Anderlecht ,Not Available,Not Available
Le Meyboom,4,Italien,                1000 Bruxelles,Not Available,Not Available
Adventure Valley,3,Asiatique,                1200 Woluwe-Saint-Lambert ,Not Available,Not Available
Au Sucre Salé,3,Français,                1090 Jette ,15,Not Available
Saint-Boniface,4,Français,                1050 Ixelles ,33,Not Available
2due,4.5,Italien,                1000 Bruxelles,15,Not Available
Little Bamboo,5,Asiatique,                1160 Auderghem ,Not Available,Not Available
L'Eau Chaude,4,Français,                1000 Bruxelles,15,Not Available
Nona,4,Italien,                1000 Bruxelles,15,Not Available
Au fond,4,Belge,                1000 Bruxelles,Not Available,Not Available
Osteria Agricola Toscana,4,Italien,                1000 Bruxelles,30,Not Available
Le Jardin d'Erasme,3,Français,                1070 Anderlecht ,15,Not Available
Le Croque En Ville,5,Belge,                1000 Bruxelles,11,Not Available
Di Tommaso,4.5,Italien,                1000 Bruxelles,15,Not Available
Stanley Grill,4,Français,                1000 Bruxelles,30,Not Available
Le Selecto,4,Français,               1000 Bruxelles,48,Not Available
Mcdonald's,3,Américain,                1180 Uccle ,Not Available,Not Available
Le Lombard,3.5,Belge,                1000 Bruxelles,16,Not Available
Icônes,3.5,Belge,                1000 Bruxelles,25,Not Available
New Saigon Bangkok,3.5,Asiatique,                1210 Saint-Josse-ten-Noode ,15,Not Available
Mcdonald's,3.5,Américain,                1000 Bruxelles,Not Available,Not Available
Restobières,4.5,Belge,                1000 Bruxelles,16,Not Available
Chez Jacques,4,Français,                1000 Bruxelles,86,Not Available
Star Of India,4,Indien,                1210 Saint-Josse-ten-Noode ,22,Not Available
Spirito,3,Français,                1050 Bruxelles,Not Available,Not Available
Louise Barocco Wine Bar,3.5,Italien,                1050 Bruxelles,15,Not Available
"La Marchigiana, Schaerbeek",4.5,Italien,                1030 Schaerbeek ,16,Not Available
Les Memoires De Gretry,2.5,Français,                1000 Bruxelles,15,Not Available
Le Nenuphar,4,Vietnamien,                1200 Woluwe-Saint-Lambert ,87,Not Available
Les Fils à Papa,4,Français,                1180 Uccle ,21,Not Available
La Baraka,3.5,Français,                1000 Bruxelles,9,Not Available
Le Patio d'Eté,4,Belge,                1050 Ixelles ,30,Not Available
Brussels Burgers,Not available,Français,                1000 Bruxelles,Not Available,Not Available
La Terrasse,3.5,Belge,                1040 Etterbeek ,Not Available,Not Available
Art's & Bagels,4,Français,                1040 Bruxelles,7,Not Available
So Tasty,3,Français,                1000 Bruxelles,Not Available,Not Available
La Figoule,2.5,Français,                1050 Bruxelles,15,Not Available
Van Guils - Fine Food,5,Français,                1050 Ixelles ,15,Not Available
Quartier Luxe,Not available,Européen,                1050 Ixelles ,Not Available,Not Available
Vini Divini,4.5,Italien,                1050 Ixelles ,15,Not Available
Van Deuren Nadine,Not available,Belge,                1000 Bruxelles,Not Available,Not Available
Fleur De Lotus,Not available,Asiatique,                1050 Ixelles ,Not Available,Not Available
Sushi's Belliard,3.5,Français,                1040 Etterbeek ,15,Not Available
Atelier Des Pates,4,Italien,                1000 Bruxelles,32,Not Available
Beijingya,4,Asiatique,                1000 Bruxelles,19,Not Available
Mitsui,3.5,Japonais,                1050 Ixelles ,30,Not Available
Lunch Garden,2.5,Européen,                1160 Auderghem ,16,Not Available
Bs In Town,4,Belge,                1050 Ixelles ,Not Available,Not Available
Le Vietnam,Not available,Vietnamien,                1000 Bruxelles,Not Available,Not Available
Glory S,4.5,Français,                1200 Woluwe-Saint-Lambert ,Not Available,Not Available
Bota Café,3,Italien,                1210 Saint-Josse-ten-Noode ,16,Not Available
Hôtel De Ville,4,Belge,                1060 Saint-Gilles ,Not Available,Not Available
The Twelve,4.5,Européen,                1040 Etterbeek ,50,Not Available
Greenway Foods,4.5,Français,                1060 Saint-Gilles ,17,Not Available
The Wine Program,4.5,Belge,                1200 Woluwe-Saint-Lambert ,18,Not Available
Le Miroir,3,Belge,                1090 Jette ,16,Not Available
Le Vistro,3.5,Français,                1000 Bruxelles,Not Available,Not Available
Delice,Not available,Français,                1050 Ixelles ,Not Available,Not Available
Benkei,4,Français,                1080 Molenbeek-Saint-Jean ,9,Not Available
Pizza Hut,2.5,Italien,                1000 Bruxelles,9,Not Available
Le Savarin,2.5,Belge,                1000 Bruxelles,35,Not Available
Kokuban Schuman,4,Japonais,                1040 Bruxelles,16,Not Available
Casa Nostra,4,Italien,                1000 Bruxelles,16,Not Available
La Terrasse,4,Belge,                1000 Bruxelles,Not Available,Not Available
Caspian,4.5,Français,                1000 Bruxelles,15,Not Available
La Palette Gourmande,3.5,Français,                1000 Bruxelles,35,Not Available
Le Déjeuner Sur l'Herbe,4.5,Français,                1210 Saint-Josse-ten-Noode ,33,Not Available
Saines Saveurs,3.5,Vietnamien,                1200 Woluwe-Saint-Lambert ,15,Not Available
Biodrome,Not available,Français,                1000 Bruxelles,Not Available,Not Available
"Quick Quality Burger Restaurant, Woluwe-saint-lambert",2.5,Américain,                 Woluwe-Saint-Lambert ,Not Available,Not Available
Le Fleur Du Pain,3,Français,                1050 Bruxelles,16,Not Available
Michael Collins,4,Irlandais,                1000 Bruxelles,Not Available,Not Available
"King Kong, Saint-gilles",4,Péruvien,                1060 Saint-Gilles ,15,Not Available
Vieille Bosnie,4.5,Européen,                1030 Schaerbeek ,28,Not Available
"The Greenpark, Anderlecht",5,Français,                1070 Anderlecht ,16,Not Available
Cobra Restaurant,2,Italien,                1180 Uccle ,Not Available,Not Available
Chinoise Riz (ô),3.5,Chinois,                1050 Ixelles ,15,Not Available
Cappuccino,4,Italien,                1050 Ixelles ,9,Not Available
L'Olivier De Villarosa,4,Italien,                1090 Jette ,9,Not Available
Dionita,4.5,Français,                1020 Laeken ,Not Available,Not Available
Pasta Fina,4.5,Italien,                1070 Anderlecht ,15,Not Available
Il Pasticcio,4.5,Italien,                1050 Ixelles ,19,Not Available
Les 2 Petits Diables,4,Italien,                1160 Auderghem ,31,Not Available
Las Castanuelas,4.5,Espagnol,                1000 Bruxelles,28,Not Available
Lojadi,Not available,Belge,                1200 Woluwe-Saint-Lambert ,Not Available,Not Available
Bocconi,4.5,Italien,                1000 Bruxelles,35,Not Available
Orphyse Chaussette,4.5,Français,                1000 Bruxelles,40,Not Available
