Name,Rating,Type,Address,Average budget,Maximum capacity
Ellis Gourmet Burger,4,Américain,                1000 Bruxelles,30,Not Available
"La Fabrique, Ixelles",4,Européen,                1050 Ixelles ,38,Not Available
Les Super Filles Du Tram,4,Américain,                1050 Ixelles ,26,Not Available
Food Factory,4,Français,                1000 Bruxelles,Not Available,Not Available
Fait Maison,4,Belge,                1000 Bruxelles,10,Not Available
"Sushi Shop, Woluwe-st-pierre",4,Japonais,                1150 Woluwe-Saint-Pierre ,29,Not Available
Walkin'Thai,4,Thaïlandais,                1050 Ixelles ,17,Not Available
"Le Pain Du Châtelain, Ixelles",4,Européen,                1050 Ixelles ,22,Not Available
BRUGMANN,3.75,Asiatique,                1190 Forest ,38,Not Available
Le Coq En Pâte,3.833333333,Italien,                1200 Woluwe-Saint-Lambert ,40,Not Available
Amadeo,3.625,Français,                1000 Bruxelles,Not Available,Not Available
Chez Léon 1893,3.5,Belge,                1000 Bruxelles,25,Not Available
Schievelavabo Jourdan,3.5,Belge,                1040 Etterbeek ,25,Not Available
Chutney's,3.5,Français,                1000 Bruxelles,25,Not Available
French Kiss,3.5,Belge,                1090 Jette ,32,Not Available
Makisu,3.5,Japonais,                1000 Bruxelles,22,Not Available
"After Time, Ixelles",3.5,Français,                1050 Ixelles ,14,Not Available
Hector Chicken,3.5,Français,                1050 Ixelles ,16,Not Available
Kokob,3.5,Africain,                1000 Bruxelles,22,Not Available
"La Mami, Saint-gilles",3.5,Français,                1060 Saint-Gilles ,12,Not Available
Tarte Julie,3.5,Français,                1000 Bruxelles,10,Not Available
La Manufacture,3.5,Belge,                1000 Bruxelles,34,Not Available
Chez Willy,3.5,Français,                1000 Bruxelles,Not Available,Not Available
Beli,3.5,Libanais,                1000 Bruxelles,26,Not Available
Exki,3.5,Français,                1000 Bruxelles,9,Not Available
Kabuki,3.333333333,Japonais,                1000 Bruxelles,26,Not Available
Pizza Saco,3,Italien,                1030 Bruxelles,25,Not Available
Makisu,3,Français,                1000 Bruxelles,17,Not Available
Meli Mêly,3,Coréen,                1030 Schaerbeek ,Not Available,Not Available
Brussels Grill,3,Français,                1000 Bruxelles,28,Not Available
Oficina,3,Français,                1000 Bruxelles,18,Not Available
Drug Opéra,3,Belge,                1000 Bruxelles,25,Not Available
Midi Station,3,Belge,                1060 Saint-Gilles ,35,Not Available
"Bam's Resto Bistro, Watermael-boitsfort",2.25,Français,                1170 Watermael-Boitsfort ,35,Not Available
Jardin De Pékin,2,Chinois,                1150 Woluwe-Saint-Pierre ,26,Not Available
Mcdonald's,2,Américain,                1000 Bruxelles,11,Not Available
Il Vespino,1,Belge,                1170 Watermael-Boitsfort ,30,Not Available
Pachino Rosso,1,Italien,                1180 Uccle ,24,Not Available
Sushiline,1,Japonais,                1020 Laeken ,18,Not Available
Ninja House,1,Japonais,                1000 Bruxelles,30,Not Available
Maru,0.5,Asiatique,                1050 Ixelles ,32,Not Available
